traj,px,py,pz,vx,vy,vz,ax,ay,az,roll,pitch,yaw
0,-0.84,0.33,0.57,1.07,-0.94,-0.03,0.09,-0.61,0.22,0.11,-0.05,0.07
0,-0.84,0.33,0.57,1.07,-0.94,-0.03,0.08,-0.56,0.24,0.1,-0.05,0.08
0,-0.82,0.31,0.57,1.07,-0.95,-0.03,0.08,-0.5,0.26,0.1,-0.05,0.08
0,-0.81,0.31,0.57,1.08,-0.96,-0.03,0.04,-0.48,0.27,0.09,-0.05,0.08
0,-0.81,0.3,0.57,1.07,-0.96,-0.02,0.04,-0.44,0.22,0.09,-0.05,0.08
0,-0.8,0.29,0.57,1.08,-0.97,-0.02,0.03,-0.38,0.18,0.09,-0.05,0.08
0,-0.79,0.29,0.57,1.08,-0.97,-0.02,0.01,-0.31,0.13,0.08,-0.05,0.08
0,-0.77,0.27,0.57,1.08,-0.98,-0.02,-0.01,-0.26,0.13,0.08,-0.05,0.08
0,-0.77,0.27,0.57,1.09,-0.98,-0.01,-0.01,-0.21,0.1,0.07,-0.05,0.08
0,-0.76,0.26,0.57,1.08,-0.98,-0.01,0.01,-0.16,0.08,0.07,-0.05,0.08
0,-0.75,0.25,0.57,1.09,-0.99,-0.01,-0.01,-0.11,0.13,0.06,-0.05,0.09
0,-0.74,0.25,0.57,1.09,-0.99,-0.01,-0.06,-0.04,0.15,0.06,-0.05,0.09
0,-0.73,0.23,0.57,1.09,-0.99,-0.01,-0.05,-0.04,0.18,0.05,-0.05,0.09
0,-0.72,0.22,0.57,1.09,-0.99,-0.0,-0.04,-0.0,0.15,0.05,-0.05,0.09
0,-0.71,0.22,0.57,1.09,-0.99,-0.0,-0.04,0.02,0.17,0.05,-0.05,0.09
0,-0.7,0.21,0.57,1.09,-0.99,0.0,-0.06,0.04,0.17,0.04,-0.05,0.09
0,-0.69,0.2,0.57,1.09,-0.99,0.0,-0.08,0.11,0.11,0.04,-0.05,0.09
0,-0.68,0.19,0.57,1.1,-0.99,0.0,-0.11,0.14,0.05,0.04,-0.05,0.09
0,-0.67,0.18,0.57,1.1,-0.99,0.01,-0.11,0.16,0.03,0.04,-0.05,0.09
0,-0.66,0.18,0.57,1.09,-0.98,0.01,-0.1,0.18,0.05,0.03,-0.05,0.09
0,-0.65,0.17,0.57,1.09,-0.98,0.01,-0.11,0.15,0.06,0.03,-0.05,0.09
0,-0.65,0.16,0.57,1.09,-0.98,0.01,-0.12,0.18,0.07,0.03,-0.05,0.1
0,-0.63,0.15,0.57,1.09,-0.98,0.01,-0.13,0.22,0.04,0.03,-0.04,0.1
0,-0.62,0.14,0.57,1.1,-0.98,0.01,-0.12,0.21,0.06,0.03,-0.04,0.1
0,-0.61,0.14,0.57,1.09,-0.97,0.02,-0.14,0.21,0.0,0.03,-0.04,0.1
